date,ticker,name,reports,period,epsWallStreet,epsEstimize,epsActual,revWallStreet,revEstimize,revActual
1/23/2017,PETS,PetMed Express Inc,BMO,FQ3 ‘17,0.25,0.26,0.24,52,52.69,52.87
1/23/2017,RMD,ResMed Inc.,AMC,FQ2 ‘17,0.7,0.71,0.73,523.43,521.58,530.4
1/23/2017,MCD,McDonald's Corp.,BMO,FQ4 ‘16,1.41,1.45,1.43,5973,6049,6029
1/23/2017,HAL,Halliburton Company,BMO,FQ4 ‘16,0.02,0.04,0.04,4095,4077,4021
1/23/2017,PRK,Park National Corp.,AMC,FQ4 ‘16,1.45,,1.3,82.22,,84.32
1/23/2017,BRO,Brown & Brown Inc.,AMC,FQ4 ‘16,0.2,0.21,0.21,429.27,431.99,433.6
1/24/2017,ATI,Allegheny Technologies Inc.,BMO,FQ4 ‘16,-0.11,-0.11,-0.04,802.53,805.98,796.1
1/24/2017,AA,Alcoa Corp.,AMC,FQ4 ‘16,0.22,0.2,0.14,2211,2458,2537
1/24/2017,EXP,Eagle Materials Inc.,BMO,FQ3 ‘17,1.15,1.15,1.17,306.48,304.93,302.4
1/24/2017,LOGI,Logitech International SA,AMC,FQ3 ‘17,0.44,0.47,0.56,643.48,650.52,666.71
1/24/2017,WAT,Waters Corp.,BMO,FQ4 ‘16,2.13,2.13,2.21,616.48,617.17,628.79
1/24/2017,TSS,"Total System Services, Inc.",AMC,FQ4 ‘16,0.7,0.71,0.71,1137,1146,1132
1/24/2017,IIVI,II-VI Inc.,BMO,FQ2 ‘17,,0.29,0.49,,220.79,231.82
1/24/2017,NAVI,Navient Corporation,AMC,FQ4 ‘16,0.44,0.46,0.43,365.5,368.07,373
1/24/2017,TRV,Travelers Companies Inc,BMO,FQ4 ‘16,2.89,2.85,3.2,6837,6841,7193
1/25/2017,CVTI,"Covenant Transportation Group, Inc.",AMC,FQ4 ‘16,0.34,0.35,0.33,187.05,187.99,190.98
1/25/2017,EGHT,8x8 Inc.,AMC,FQ3 ‘17,0.04,0.05,0.06,63.82,64.24,63.68
1/25/2017,APH,Amphenol Corporation,BMO,FQ4 ‘16,0.72,0.74,0.75,1609,1620,1651
1/25/2017,BOKF,BOK Financial Corp.,BMO,FQ4 ‘16,0.93,0.94,1.09,364.72,366.98,337.95
1/25/2017,TER,Teradyne Inc.,AMC,FQ4 ‘16,0.21,0.24,0.32,345.26,348.56,379.99
1/25/2017,ROK,Rockwell Automation Inc.,BMO,FQ1 ‘17,1.45,1.47,1.75,1421,1422,1490
1/25/2017,NSC,Norfolk Southern Corp.,BMO,FQ4 ‘16,1.38,1.4,1.42,2501,2500,2490
1/25/2017,MCK,McKesson Corporation,AMC,FQ3 ‘17,2.95,2.97,3.05,50432,50601,50130
1/25/2017,TXT,Textron Inc.,BMO,FQ4 ‘16,0.87,0.88,0.8,3899,3868,3825
1/25/2017,NVR,NVR Inc.,BMO,FQ4 ‘16,33.39,33.78,37.8,1691,1705,1753
1/25/2017,VAR,Varian Medical Systems Inc.,AMC,FQ1 ‘17,1.05,1.07,1.09,768.62,773.93,763.3
1/25/2017,PGR,Progressive Corp.,BMO,FQ4 ‘16,0.51,0.53,0.66,6004,5978,5871
1/25/2017,STT,State Street Corp.,BMO,FQ4 ‘16,1.34,1.36,1.48,2775,2776,2749
1/25/2017,MUR,Murphy Oil Corporation,AMC,FQ4 ‘16,-0.19,-0.18,-0.16,479.41,485.12,505.84
1/25/2017,SEIC,SEI Investments Co.,AMC,FQ4 ‘16,0.51,0.52,0.55,362.01,361.21,368.81
1/25/2017,TEL,TE Connectivity Ltd.,BMO,FQ1 ‘17,1,1.02,1.15,3001,3005,3063
1/25/2017,HXL,Hexcel Corp.,AMC,FQ4 ‘16,0.62,0.64,0.64,500.2,503.63,483.5
1/25/2017,MPX,Marine Products Corporation,BMO,FQ4 ‘16,0.13,0.13,0.1,68.83,68.19,57.24
1/25/2017,ROL,Rollins Inc.,BMO,FQ4 ‘16,,0.19,0.17,,389.61,385.61
1/25/2017,ITW,Illinois Tool Works Inc.,BMO,FQ4 ‘16,1.37,1.38,1.39,3405,3413,3399
1/25/2017,WIT,Wipro Limited,BMO,FQ3 ‘17,0.13,0.13,0.13,2033,2032,2015
1/25/2017,QTM,Quantum Corporation,AMC,FQ3 ‘17,0.12,0.18,0.16,133,131.91,133.48
1/25/2017,CSII,Cardiovascular Systems Inc.,AMC,FQ2 ‘17,-0.06,-0.03,0.03,49.79,50.05,50.04
1/25/2017,RJF,"Raymond James Financial, Inc.",AMC,FQ1 ‘17,1.11,1.07,1.07,1534,1511,1493
1/25/2017,VIVO,Meridian Bioscience Inc.,BMO,FQ1 ‘17,0.19,0.19,0.15,50.52,50.35,46.81
1/25/2017,KNX,Knight-Swift Transportation Holdings Inc.,AMC,FQ4 ‘16,0.31,0.32,0.29,286.16,285.79,289.1
1/25/2017,QSII,Quality Systems Inc.,AMC,FQ3 ‘17,0.2,0.21,0.23,125.93,126.75,127.87
1/25/2017,RES,RPC Inc.,BMO,FQ4 ‘16,-0.13,-0.12,-0.1,204.32,205.95,221
1/25/2017,HES,Hess Corporation,BMO,FQ4 ‘16,-1.07,-1.1,-1.01,1252,1260,1386
1/25/2017,BGG,Briggs & Stratton Corp.,AMC,FQ2 ‘17,0.29,0.31,0.35,418.1,416.69,428.24
1/25/2017,CVLT,"CommVault Systems, Inc.",BMO,FQ3 ‘17,0.26,0.28,0.28,163.48,164.84,165.84
1/25/2017,EFII,"Electronics for Imaging, Inc.",AMC,FQ4 ‘16,0.74,0.75,0.77,273.5,274.02,266.71
1/25/2017,FCB,"FCB Financial Holdings, Inc.",AMC,FQ4 ‘16,0.62,,0.62,77.31,,78.99
1/25/2017,GWW,"W.W. Grainger, Inc.",BMO,FQ4 ‘16,2.36,2.4,2.45,2441,2453,2471
1/25/2017,MDP,Meredith Corp.,BMO,FQ2 ‘17,1.25,1.22,1.3,434.55,434.73,442.64
1/25/2017,ETH,Ethan Allen Interiors Inc.,AMC,FQ2 ‘17,0.38,0.41,0.39,199.94,201.7,194.67
1/25/2017,HBAN,Huntington Bancshares Incorporated,BMO,FQ4 ‘16,0.22,0.23,0.24,1052,1050,1082
